MONTHLY BUDGET TRACKER - Felix Creations
Instructions: Enter your income and expenses. Green = under budget. Red = over budget.

INCOME,,,,
Category,Budgeted,Actual,Difference,Notes
Primary salary/wage,0,0,=C4-B4,
Freelance/side income,0,0,=C5-B5,
Other income,0,0,=C6-B6,
TOTAL INCOME,=SUM(B4:B6),=SUM(C4:C6),=C7-B7,

FIXED EXPENSES,,,,
Category,Budgeted,Actual,Difference,Notes
Rent/Mortgage,0,0,=C11-B11,
Car payment,0,0,=C12-B12,
Insurance,0,0,=C13-B13,
Internet/Phone,0,0,=C14-B14,
Subscriptions,0,0,=C15-B15,
TOTAL FIXED,=SUM(B11:B15),=SUM(C11:C15),=C16-B16,

VARIABLE EXPENSES,,,,
Category,Budgeted,Actual,Difference,Notes
Groceries,0,0,=C20-B20,
Dining out,0,0,=C21-B21,
Entertainment,0,0,=C22-B22,
Clothing,0,0,=C23-B23,
Personal care,0,0,=C24-B24,
Transport/Fuel,0,0,=C25-B25,
Health/Medical,0,0,=C26-B26,
Miscellaneous,0,0,=C27-B27,
TOTAL VARIABLE,=SUM(B20:B27),=SUM(C20:C27),=C28-B28,

SAVINGS,,,,
Emergency fund,0,0,=C32-B32,
Investment,0,0,=C33-B33,
Holiday/Goals,0,0,=C34-B34,
TOTAL SAVINGS,=SUM(B32:B34),=SUM(C32:C34),=C35-B35,

SUMMARY,,,,
Total Income,,=C7,,
Total Expenses,,=C16+C28,,
Total Savings,,=C35,,
NET (Income-Expenses-Savings),,=C39-C40-C41,,
